module,last_version,old_name,old_url,evidence,target_module,target_name,target_url,jaccard,name_similarity,score,confirmed
icu,2025.0.4,SD_MII_ICU_Kopfumfang,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/kopfumfang,similar,seltene,MII_PR_Seltene_Kopfumfang,https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/StructureDefinition/mii-pr-seltene-kopfumfang,0.241,1.0,0.545,
icu,2026.0.1,MII_PR_ICU_Kopfumfang,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-kopfumfang,similar,seltene,MII_PR_Seltene_Kopfumfang,https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/StructureDefinition/mii-pr-seltene-kopfumfang,0.241,1.0,0.545,
patho,0.9.0,SD_MII_Patho_Base_Observation,https://www.medizininformatik-initiative.de/fhir/ext/modul-patho/StructureDefinition/sd-mii-patho-base-observation,similar,symptom,MII_PR_Symptom_Observation,https://www.medizininformatik-initiative.de/fhir/modul-symptom/StructureDefinition/finding-observation,0.177,1.0,0.506,
laborbefund,0.9.2,ObservationLab,https://www.medizininformatik-initiative.de/fhir/core/StructureDefinition/ObservationLab,similar,symptom,MII_PR_Symptom_Observation,https://www.medizininformatik-initiative.de/fhir/modul-symptom/StructureDefinition/finding-observation,0.25,0.88,0.502,
molgen,2026.0.0,MII_PR_MolGen_Familienanamnese,https://www.medizininformatik-initiative.de/fhir/ext/modul-molgen/StructureDefinition/mii-pr-molgen-familienanamnese,similar,seltene,MII_PR_Seltene_Familienanamnese,https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/StructureDefinition/mii-pr-seltene-familienanamnese,0.148,1.0,0.489,
laborbefund,0.9.2,ServiceRequestLab,https://www.medizininformatik-initiative.de/fhir/core/StructureDefinition/ServiceRequestLab,similar,patho,MII_PR_Patho_Service_Request,https://www.medizininformatik-initiative.de/fhir/ext/modul-patho/StructureDefinition/mii-pr-patho-service-request,0.179,0.903,0.468,
icu,2025.0.4,SD_MII_ICU_Icu_Device,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/icu-device,similar,kardiologie,MII_PR_Kardio_Device,https://www.medizininformatik-initiative.de/fhir/ext/modul-kardio/StructureDefinition/mii-pr-kardio-device,0.111,1.0,0.467,
icu,2026.0.2,MII_PR_ICU_Device,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-icu-device,similar,kardiologie,MII_PR_Kardio_Device,https://www.medizininformatik-initiative.de/fhir/ext/modul-kardio/StructureDefinition/mii-pr-kardio-device,0.111,1.0,0.467,
patho,0.9.0,SD_MII_Patho_Specimen,https://www.medizininformatik-initiative.de/fhir/ext/modul-patho/StructureDefinition/sd-mii-patho-specimen,similar,onkologie,MII_PR_Onko_Specimen,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/StructureDefinition/mii-pr-onko-specimen,0.1,1.0,0.46,
icu,2025.0.4,SD_MII_ICU_Ionisiertes_Kalzium_Nierenersatzverfahren,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/ionisiertes-kalzium-nierenersatzverfahren,similar,kardiologie,MII_PR_Kardio_Score_Modifizierte_Rankin_Skala,https://www.medizininformatik-initiative.de/fhir/ext/modul-kardio/StructureDefinition/mii-pr-kardio-score-modifizierte-rankin-skala,0.5,0.358,0.443,
